ID_GEOGRAFIA,UBIGEO,ID_DEP,DOMINIO,ESTRATO
1,010101,1,Sierra Norte,"De 20,000 a 49,999 habitantes"
2,010307,1,Selva,"De 2,000 a 19,999 habitantes"
3,010701,1,Selva,"De 20,000 a 49,999 habitantes"
4,010706,1,Selva,"De 2,000 a 19,999 habitantes"
5,010201,1,Selva,"De 20,000 a 49,999 habitantes"
6,010101,1,Sierra Norte,Área de Empadronamiento Rural (AER) Simple
7,010521,1,Sierra Norte,Área de Empadronamiento Rural (AER) Simple
8,010504,1,Sierra Norte,Área de Empadronamiento Rural (AER) Compuesto
9,010501,1,Sierra Norte,"De 500 a 1,999 habitantes"
10,010109,1,Sierra Norte,Área de Empadronamiento Rural (AER) Simple
11,010401,1,Selva,Área de Empadronamiento Rural (AER) Compuesto
12,010512,1,Selva,"De 500 a 1,999 habitantes"
13,010702,1,Selva,Área de Empadronamiento Rural (AER) Compuesto
14,021809,2,Costa Centro,"De 100,000 a 499,999 habitantes"
15,021801,2,Costa Centro,"De 100,000 a 499,999 habitantes"
16,021101,2,Costa Centro,"De 20,000 a 49,999 habitantes"
17,021808,2,Costa Centro,"De 2,000 a 19,999 habitantes"
18,021801,2,Costa Centro,Área de Empadronamiento Rural (AER) Compuesto
19,020105,2,Sierra Centro,"De 100,000 a 499,999 habitantes"
20,022001,2,Sierra Centro,"De 2,000 a 19,999 habitantes"
21,020702,2,Sierra Centro,"De 500 a 1,999 habitantes"
22,020111,2,Sierra Centro,Área de Empadronamiento Rural (AER) Simple
23,021307,2,Sierra Centro,Área de Empadronamiento Rural (AER) Compuesto
24,021402,2,Sierra Centro,Área de Empadronamiento Rural (AER) Simple
25,022001,2,Sierra Centro,Área de Empadronamiento Rural (AER) Simple
26,021604,2,Sierra Centro,Área de Empadronamiento Rural (AER) Simple
27,030101,3,Sierra Sur,"De 50,000 a 99,999 habitantes"
28,030602,3,Sierra Sur,"De 2,000 a 19,999 habitantes"
29,030401,3,Sierra Sur,"De 2,000 a 19,999 habitantes"
30,030304,3,Sierra Sur,"De 500 a 1,999 habitantes"
31,030503,3,Sierra Sur,Área de Empadronamiento Rural (AER) Simple
32,030506,3,Sierra Sur,Área de Empadronamiento Rural (AER) Compuesto
33,030604,3,Sierra Sur,Área de Empadronamiento Rural (AER) Simple
34,030201,3,Sierra Sur,Área de Empadronamiento Rural (AER) Compuesto
35,030203,3,Sierra Sur,Área de Empadronamiento Rural (AER) Compuesto
36,030712,3,Sierra Sur,"De 500 a 1,999 habitantes"
37,040129,4,Sierra Sur,"De 500,000 a más habitantes"
38,040104,4,Sierra Sur,"De 500,000 a más habitantes"
39,040122,4,Sierra Sur,"De 500,000 a más habitantes"
40,040110,4,Sierra Sur,"De 500,000 a más habitantes"
41,040112,4,Sierra Sur,"De 500,000 a más habitantes"
42,040101,4,Sierra Sur,"De 500,000 a más habitantes"
43,040103,4,Sierra Sur,"De 500,000 a más habitantes"
44,040102,4,Sierra Sur,"De 500,000 a más habitantes"
45,040121,4,Costa Sur,"De 2,000 a 19,999 habitantes"
46,040401,4,Costa Sur,"De 2,000 a 19,999 habitantes"
47,040305,4,Costa Sur,"De 2,000 a 19,999 habitantes"
48,040128,4,Sierra Sur,"De 20,000 a 49,999 habitantes"
49,040111,4,Sierra Sur,"De 2,000 a 19,999 habitantes"
50,040105,4,Sierra Sur,"De 2,000 a 19,999 habitantes"
