ID_HOGAR,ID_GEOGRAFIA,MES_NUM,ID_POBREZA,MIEPERHO,FACTOR07,INGHOG2D,GASHOG2D,BRECHA_HOG,ING_PERCAPITA,GAS_PERCAPITA,BRECHA_PERCAPITA,LOG_INGHOG2D,LOG_GASHOG2D,LOG_BRECHA_PERCAP,GRU11HD,GRU21HD,GRU31HD,GRU41HD,GRU51HD,GRU61HD,GRU71HD,GRU81HD,GRU11HD_PCT,GRU21HD_PCT,GRU31HD_PCT,GRU41HD_PCT,GRU51HD_PCT,GRU61HD_PCT,GRU71HD_PCT,GRU81HD_PCT
1,1,1,1,2,79.8167572021484,52162.609375,34188.21875,17974.390625,26081.3046875,17094.109375,8987.1953125,10.862140392346792,10.439665632123663,9.103667363431825,3845.36376953125,874.3916015625,1006.78271484375,1307.08349609375,3339.0,3247.2607421875,1318.78759765625,3219.26586914063,0.1125,0.0256,0.0294,0.0382,0.0977,0.095,0.0386,0.0942
2,1,1,1,3,79.8167572021484,40832.04296875,40164.9453125,667.09765625,13610.680989583334,13388.315104166666,222.36588541666663,10.617246909304138,10.600774784058576,5.408811168692602,12792.4892578125,2384.77783203125,916.0,665.926879882813,2408.24267578125,2768.0,895.084716796875,752.953063964844,0.3185,0.0594,0.0228,0.0166,0.06,0.0689,0.0223,0.0187
3,1,1,1,1,79.8167572021484,15098.4970703125,12308.8388671875,2789.658203125,15098.4970703125,12308.8388671875,2789.658203125,9.622416715646516,9.418154129506112,7.934032762090386,2150.48510742188,603.583740234375,2589.0,581.172546386719,2047.0,233.0,41.4789619445801,557.595886230469,0.1747,0.049,0.2103,0.0472,0.1663,0.0189,0.0034,0.0453
4,1,1,1,2,79.8167572021484,41082.953125,30316.724609375,10766.228515625,20541.4765625,15158.3623046875,5383.1142578125,10.623372889329929,10.319487791075286,8.591208092832762,9690.755859375,39.4341354370117,3178.3662109375,2735.14331054688,652.0,930.0,0.0,1418.50390625,0.3197,0.0013,0.1048,0.0902,0.0215,0.0307,0.0,0.0468
5,1,1,2,5,79.8167572021484,47659.16015625,33076.91015625,14582.25,9531.83203125,6615.38203125,2916.45,10.7718511110384,10.406620971696086,7.978465226053272,5630.693359375,1683.59619140625,1686.0,797.020874023438,1372.0,3086.14770507813,103.0,894.525024414063,0.1702,0.0509,0.051,0.0241,0.0415,0.0933,0.0031,0.027
6,1,1,2,4,79.8167572021484,37066.48828125,31072.9375,5993.55078125,9266.6220703125,7768.234375,1498.3876953125,10.520495537745912,10.344124724322125,7.312812100627726,8004.9677734375,122.828666687012,1380.0,855.887390136719,128.0,1255.47973632813,5784.0,364.403167724609,0.2576,0.004,0.0444,0.0275,0.0041,0.0404,0.1861,0.0117
7,1,1,3,3,79.8167572021484,28766.123046875,37737.890625,-8971.767578125,9588.707682291666,12579.296875,-2990.589192708333,10.266988453174724,10.538446423286466,0.0,9456.55859375,1529.07885742188,8855.0,1414.93432617188,0.0,2839.51196289063,607.5751953125,2623.17822265625,0.2506,0.0405,0.2346,0.0375,0.0,0.0752,0.0161,0.0695
8,1,1,1,2,263.821685791016,41758.0078125,29192.025390625,12565.982421875,20879.00390625,14596.0126953125,6282.9912109375,10.63967046299505,10.281685103240177,8.745760600733142,5442.54736328125,1173.76916503906,8964.90234375,1629.90478515625,737.0,1387.8662109375,320.176361083984,457.955871582031,0.1864,0.0402,0.3071,0.0558,0.0252,0.0475,0.011,0.0157
9,1,1,4,2,263.821685791016,8348.240234375,13091.0029296875,-4742.7626953125,4174.1201171875,6545.50146484375,-2371.38134765625,9.02992582380986,9.479756859397972,0.0,4253.8408203125,0.0,1001.0,806.629638671875,300.0,1547.18188476563,5.28856754302979,991.256042480469,0.3249,0.0,0.0765,0.0616,0.0229,0.1182,0.0004,0.0757
10,1,1,3,3,263.821685791016,25195.724609375,39344.15234375,-14148.427734375,8398.574869791666,13114.717447916666,-4716.142578125,10.134469289233474,10.5801280529593,0.0,8990.6591796875,1851.30529785156,1293.49987792969,1148.3837890625,1989.0,3861.84912109375,3447.9814453125,3622.76391601563,0.2285,0.0471,0.0329,0.0292,0.0506,0.0982,0.0876,0.0921
