ID_GEOGRAFIA,UBIGEO,DEPARTAMENTO,DOMINIO,ESTRATO
1,010101,Amazonas,Sierra Norte,"De 20,000 a 49,999 habitantes"
2,010307,Amazonas,Selva,"De 2,000 a 19,999 habitantes"
3,010701,Amazonas,Selva,"De 20,000 a 49,999 habitantes"
4,010706,Amazonas,Selva,"De 2,000 a 19,999 habitantes"
5,010201,Amazonas,Selva,"De 20,000 a 49,999 habitantes"
6,010101,Amazonas,Sierra Norte,Área de Empadronamiento Rural (AER) Simple
7,010521,Amazonas,Sierra Norte,Área de Empadronamiento Rural (AER) Simple
8,010504,Amazonas,Sierra Norte,Área de Empadronamiento Rural (AER) Compuesto
9,010501,Amazonas,Sierra Norte,"De 500 a 1,999 habitantes"
10,010109,Amazonas,Sierra Norte,Área de Empadronamiento Rural (AER) Simple
11,010401,Amazonas,Selva,Área de Empadronamiento Rural (AER) Compuesto
12,010512,Amazonas,Selva,"De 500 a 1,999 habitantes"
13,010702,Amazonas,Selva,Área de Empadronamiento Rural (AER) Compuesto
14,021809,Áncash,Costa Centro,"De 100,000 a 499,999 habitantes"
15,021801,Áncash,Costa Centro,"De 100,000 a 499,999 habitantes"
16,021101,Áncash,Costa Centro,"De 20,000 a 49,999 habitantes"
17,021808,Áncash,Costa Centro,"De 2,000 a 19,999 habitantes"
18,021801,Áncash,Costa Centro,Área de Empadronamiento Rural (AER) Compuesto
19,020105,Áncash,Sierra Centro,"De 100,000 a 499,999 habitantes"
20,022001,Áncash,Sierra Centro,"De 2,000 a 19,999 habitantes"
21,020702,Áncash,Sierra Centro,"De 500 a 1,999 habitantes"
22,020111,Áncash,Sierra Centro,Área de Empadronamiento Rural (AER) Simple
23,021307,Áncash,Sierra Centro,Área de Empadronamiento Rural (AER) Compuesto
24,021402,Áncash,Sierra Centro,Área de Empadronamiento Rural (AER) Simple
25,022001,Áncash,Sierra Centro,Área de Empadronamiento Rural (AER) Simple
26,021604,Áncash,Sierra Centro,Área de Empadronamiento Rural (AER) Simple
27,030101,Apurímac,Sierra Sur,"De 50,000 a 99,999 habitantes"
28,030602,Apurímac,Sierra Sur,"De 2,000 a 19,999 habitantes"
29,030401,Apurímac,Sierra Sur,"De 2,000 a 19,999 habitantes"
30,030304,Apurímac,Sierra Sur,"De 500 a 1,999 habitantes"
31,030503,Apurímac,Sierra Sur,Área de Empadronamiento Rural (AER) Simple
32,030506,Apurímac,Sierra Sur,Área de Empadronamiento Rural (AER) Compuesto
33,030604,Apurímac,Sierra Sur,Área de Empadronamiento Rural (AER) Simple
34,030201,Apurímac,Sierra Sur,Área de Empadronamiento Rural (AER) Compuesto
35,030203,Apurímac,Sierra Sur,Área de Empadronamiento Rural (AER) Compuesto
36,030712,Apurímac,Sierra Sur,"De 500 a 1,999 habitantes"
37,040129,Arequipa,Sierra Sur,"De 500,000 a más habitantes"
38,040104,Arequipa,Sierra Sur,"De 500,000 a más habitantes"
39,040122,Arequipa,Sierra Sur,"De 500,000 a más habitantes"
40,040110,Arequipa,Sierra Sur,"De 500,000 a más habitantes"
41,040112,Arequipa,Sierra Sur,"De 500,000 a más habitantes"
42,040101,Arequipa,Sierra Sur,"De 500,000 a más habitantes"
43,040103,Arequipa,Sierra Sur,"De 500,000 a más habitantes"
44,040102,Arequipa,Sierra Sur,"De 500,000 a más habitantes"
45,040121,Arequipa,Costa Sur,"De 2,000 a 19,999 habitantes"
46,040401,Arequipa,Costa Sur,"De 2,000 a 19,999 habitantes"
47,040305,Arequipa,Costa Sur,"De 2,000 a 19,999 habitantes"
48,040128,Arequipa,Sierra Sur,"De 20,000 a 49,999 habitantes"
49,040111,Arequipa,Sierra Sur,"De 2,000 a 19,999 habitantes"
50,040105,Arequipa,Sierra Sur,"De 2,000 a 19,999 habitantes"
51,040125,Arequipa,Costa Sur,Área de Empadronamiento Rural (AER) Compuesto
52,040302,Arequipa,Costa Sur,Área de Empadronamiento Rural (AER) Simple
53,040608,Arequipa,Sierra Sur,Área de Empadronamiento Rural (AER) Compuesto
54,050115,Ayacucho,Sierra Centro,"De 100,000 a 499,999 habitantes"
55,050104,Ayacucho,Sierra Centro,"De 100,000 a 499,999 habitantes"
56,050110,Ayacucho,Sierra Centro,"De 100,000 a 499,999 habitantes"
57,050601,Ayacucho,Sierra Centro,"De 2,000 a 19,999 habitantes"
58,050701,Ayacucho,Sierra Centro,"De 2,000 a 19,999 habitantes"
59,050503,Ayacucho,Selva,"De 2,000 a 19,999 habitantes"
60,050908,Ayacucho,Sierra Centro,"De 500 a 1,999 habitantes"
61,050501,Ayacucho,Sierra Centro,Área de Empadronamiento Rural (AER) Compuesto
62,050202,Ayacucho,Sierra Centro,Área de Empadronamiento Rural (AER) Simple
63,050806,Ayacucho,Sierra Centro,Área de Empadronamiento Rural (AER) Compuesto
64,050510,Ayacucho,Selva,Área de Empadronamiento Rural (AER) Compuesto
65,060101,Cajamarca,Sierra Norte,"De 100,000 a 499,999 habitantes"
66,060108,Cajamarca,Sierra Norte,"De 100,000 a 499,999 habitantes"
67,060201,Cajamarca,Sierra Norte,"De 2,000 a 19,999 habitantes"
68,060801,Cajamarca,Selva,"De 50,000 a 99,999 habitantes"
69,060505,Cajamarca,Costa Norte,"De 500 a 1,999 habitantes"
70,060101,Cajamarca,Sierra Norte,Área de Empadronamiento Rural (AER) Compuesto
71,060107,Cajamarca,Sierra Norte,Área de Empadronamiento Rural (AER) Compuesto
72,060408,Cajamarca,Sierra Norte,Área de Empadronamiento Rural (AER) Compuesto
73,060401,Cajamarca,Sierra Norte,Área de Empadronamiento Rural (AER) Compuesto
74,061307,Cajamarca,Sierra Norte,Área de Empadronamiento Rural (AER) Compuesto
75,060309,Cajamarca,Sierra Norte,Área de Empadronamiento Rural (AER) Compuesto
76,060701,Cajamarca,Sierra Norte,Área de Empadronamiento Rural (AER) Compuesto
