ID_HOGAR,ID_GEOGRAFIA,MES_NUM,ID_POBREZA,Total_Miembros_Hogar,Factor_Expansion_Anual,Ingreso_Neto_Total_Hogar,Gasto_Total_Bruto_Hogar,Brecha_Monetaria_Hogar,Ingreso_Monetario_Per_Capita,Gasto_Monetario_Per_Capita,Brecha_Monetaria_Per_Capita,Logaritmo_Ingreso_Hogar,Logaritmo_Gasto_Hogar,Logaritmo_Brecha_Per_Capita,Gasto_Alimentos,Gasto_Vestido_Calzado,Gasto_Vivienda_Combustible_Electricidad,Gasto_Muebles_Enseres_Mantenimiento,Gasto_Salud_Servicios_Medicos,Gasto_Transportes_Comunicaciones,Gasto_Esparcimiento_Cultura_Ensenanza,Gasto_Otros_Bienes_Servicios,Porcentaje_Gasto_Alimentos,Porcentaje_Gasto_Vestido_Calzado,Porcentaje_Gasto_Vivienda_Combustible_Electricidad,Porcentaje_Gasto_Muebles_Enseres_Mantenimiento,Porcentaje_Gasto_Salud_Servicios_Medicos,Porcentaje_Gasto_Transportes_Comunicaciones,Porcentaje_Gasto_Esparcimiento_Cultura_Ensenanza,Porcentaje_Gasto_Otros_Bienes_Servicios,Tasa_Ahorro_Hogar,ID_SEGMENTO,PCA_VALIDO
1,1,1,1,2,79.816757,52162.609375,34188.218750,17974.390625,26081.304688,17094.109375,8987.195312,10.862140,10.439666,9.103667,3845.363770,874.391602,1006.782715,1307.083496,3339.000000,3247.260742,1318.787598,3219.265869,0.211800,0.048200,0.055400,0.072000,0.183900,0.178800,0.072600,0.177300,0.344584,1,1
2,1,1,1,3,79.816757,40832.042969,40164.945312,667.097656,13610.680990,13388.315104,222.365885,10.617247,10.600775,5.408811,12792.489258,2384.777832,916.000000,665.926880,2408.242676,2768.000000,895.084717,752.953064,0.542400,0.101100,0.038800,0.028200,0.102100,0.117400,0.038000,0.031900,0.016338,2,1
3,1,1,1,1,79.816757,15098.497070,12308.838867,2789.658203,15098.497070,12308.838867,2789.658203,9.622417,9.418154,7.934033,2150.485107,603.583740,2589.000000,581.172546,2047.000000,233.000000,41.478962,557.595886,0.244300,0.068600,0.294100,0.066000,0.232500,0.026500,0.004700,0.063300,0.184764,1,1
4,1,1,1,2,79.816757,41082.953125,30316.724609,10766.228516,20541.476562,15158.362305,5383.114258,10.623373,10.319488,8.591208,9690.755859,39.434135,3178.366211,2735.143311,652.000000,930.000000,0.000000,1418.503906,0.519800,0.002100,0.170500,0.146700,0.035000,0.049900,0.000000,0.076100,0.262061,1,1
5,1,1,2,5,79.816757,47659.160156,33076.910156,14582.250000,9531.832031,6615.382031,2916.450000,10.771851,10.406621,7.978465,5630.693359,1683.596191,1686.000000,797.020874,1372.000000,3086.147705,103.000000,894.525024,0.369200,0.110400,0.110500,0.052300,0.089900,0.202300,0.006800,0.058600,0.305970,1,1
6,1,1,2,4,79.816757,37066.488281,31072.937500,5993.550781,9266.622070,7768.234375,1498.387695,10.520496,10.344125,7.312812,8004.967773,122.828667,1380.000000,855.887390,128.000000,1255.479736,5784.000000,364.403168,0.447300,0.006900,0.077100,0.047800,0.007200,0.070200,0.323200,0.020400,0.161697,1,1
7,1,1,3,3,79.816757,28766.123047,37737.890625,-8971.767578,9588.707682,12579.296875,-2990.589193,10.266988,10.538446,0.000000,9456.558594,1529.078857,8855.000000,1414.934326,0.000000,2839.511963,607.575195,2623.178223,0.346100,0.056000,0.324100,0.051800,0.000000,0.103900,0.022200,0.096000,-0.311887,4,1
8,1,1,1,2,263.821686,41758.007812,29192.025391,12565.982422,20879.003906,14596.012695,6282.991211,10.639670,10.281685,8.745761,5442.547363,1173.769165,8964.902344,1629.904785,737.000000,1387.866211,320.176361,457.955872,0.270600,0.058400,0.445700,0.081000,0.036600,0.069000,0.015900,0.022800,0.300924,1,1
9,1,1,4,2,263.821686,8348.240234,13091.002930,-4742.762695,4174.120117,6545.501465,-2371.381348,9.029926,9.479757,0.000000,4253.840820,0.000000,1001.000000,806.629639,300.000000,1547.181885,5.288568,991.256042,0.477700,0.000000,0.112400,0.090600,0.033700,0.173700,0.000600,0.111300,-0.568115,4,1
10,1,1,3,3,263.821686,25195.724609,39344.152344,-14148.427734,8398.574870,13114.717448,-4716.142578,10.134469,10.580128,0.000000,8990.659180,1851.305298,1293.499878,1148.383789,1989.000000,3861.849121,3447.981445,3622.763916,0.343100,0.070600,0.049400,0.043800,0.075900,0.147400,0.131600,0.138200,-0.561541,4,1
11,1,1,3,2,263.821686,19015.699219,42208.691406,-23192.992188,9507.849609,21104.345703,-11596.496094,9.853073,10.650405,0.000000,9280.966797,930.726074,794.000000,837.564758,2254.000000,8590.429688,1036.925537,1318.094360,0.370600,0.037200,0.031700,0.033400,0.090000,0.343000,0.041400,0.052600,-1.219676,4,1
12,1,1,3,4,263.821686,31776.183594,59756.503906,-27980.320312,7944.045898,14939.125977,-6995.080078,10.366504,10.998050,0.000000,6730.278320,1471.818604,1111.000000,638.965759,0.000000,4640.984375,18487.785156,59.611233,0.203100,0.044400,0.033500,0.019300,0.000000,0.140000,0.557900,0.001800,-0.880544,4,1
13,1,1,4,4,263.821686,25681.683594,26759.830078,-1078.146484,6420.420898,6689.957520,-269.536621,10.153572,10.194695,0.000000,9501.444336,1591.851440,1038.000000,1638.994507,461.000000,1594.000000,437.454132,1426.294556,0.537100,0.090000,0.058700,0.092700,0.026100,0.090100,0.024700,0.080600,-0.041981,3,1
14,2,1,3,1,125.811554,12204.333008,20451.140625,-8246.807617,12204.333008,20451.140625,-8246.807617,9.409628,9.925843,0.000000,1528.817261,381.867310,243.390823,416.398193,0.000000,2264.732422,678.914429,1817.291504,0.208500,0.052100,0.033200,0.056800,0.000000,0.308900,0.092600,0.247900,-0.675728,4,1
15,2,1,3,5,125.811554,50716.933594,61187.710938,-10470.777344,10143.386719,12237.542187,-2094.155469,10.834035,11.021718,0.000000,15263.809570,317.000000,485.106445,11099.333008,3487.000000,5109.559570,5042.219238,2386.350830,0.353400,0.007300,0.011200,0.257000,0.080700,0.118300,0.116700,0.055300,-0.206455,4,1
16,2,1,3,1,125.811554,9328.670898,10785.799805,-1457.128906,9328.670898,10785.799805,-1457.128906,9.140955,9.286078,0.000000,2772.588135,0.000000,440.000000,225.204361,1699.000000,105.000000,47.390865,245.744263,0.500900,0.000000,0.079500,0.040700,0.307000,0.019000,0.008600,0.044400,-0.156199,4,1
17,2,1,4,1,125.811554,6414.812012,6466.055664,-51.243652,6414.812012,6466.055664,-51.243652,8.766521,8.774476,0.000000,615.159058,0.000000,733.368774,325.417847,0.000000,116.000000,0.000000,97.763107,0.325900,0.000000,0.388500,0.172400,0.000000,0.061500,0.000000,0.051800,-0.007988,3,1
18,2,1,2,6,125.811554,43962.046875,43871.628906,90.417969,7327.007812,7311.938151,15.069661,10.691105,10.689046,2.776933,11510.222656,3338.739990,1417.901978,1596.649780,2094.000000,6990.809082,2873.529541,1302.447144,0.369800,0.107300,0.045600,0.051300,0.067300,0.224600,0.092300,0.041800,0.002057,2,1
19,2,1,5,3,125.811554,15687.642578,13948.678711,1738.963867,5229.214193,4649.559570,579.654622,9.660692,9.543212,6.364156,3982.024658,729.531494,1819.506226,499.167908,348.000000,181.980103,493.290894,1037.253906,0.438000,0.080200,0.200100,0.054900,0.038300,0.020000,0.054300,0.114100,0.110849,2,1
20,2,1,4,2,125.811554,8825.085938,10390.675781,-1565.589844,4412.542969,5195.337891,-782.794922,9.085467,9.248760,0.000000,4202.981445,120.716743,330.533142,577.190369,636.000000,444.462616,874.918030,384.462921,0.555100,0.015900,0.043700,0.076200,0.084000,0.058700,0.115600,0.050800,-0.177402,4,1
21,3,1,6,4,271.278656,15668.562500,16546.679688,-878.117188,3917.140625,4136.669922,-219.529297,9.659475,9.714001,0.000000,5367.776855,257.350525,4763.553711,385.634705,336.000000,770.132446,274.000000,299.685669,0.431000,0.020700,0.382500,0.031000,0.027000,0.061800,0.022000,0.024100,-0.056043,3,1
22,3,1,2,3,271.278656,44531.109375,24581.701172,19949.408203,14843.703125,8193.900391,6649.802734,10.703966,10.109798,8.802493,6227.340820,3079.966553,782.000000,2015.476562,1723.000000,1328.802368,447.324341,485.001190,0.387100,0.191400,0.048600,0.125300,0.107100,0.082600,0.027800,0.030100,0.447988,1,1
23,3,1,4,2,271.278656,13970.240234,15052.151367,-1081.911133,6985.120117,7526.075684,-540.955566,9.544756,9.619343,0.000000,1548.105713,632.958130,1405.000000,60.701263,1538.000000,1729.754883,1984.266968,567.324707,0.163500,0.066900,0.148400,0.006400,0.162500,0.182700,0.209600,0.059900,-0.077444,3,1
24,3,1,5,4,271.278656,13441.270508,11983.896484,1457.374023,3360.317627,2995.974121,364.343506,9.506160,9.391403,5.900838,3456.713867,618.731140,562.000000,481.287201,93.000000,817.231995,837.408813,263.840424,0.484800,0.086800,0.078800,0.067500,0.013000,0.114600,0.117400,0.037000,0.108425,2,1
25,3,1,2,5,271.278656,31959.107422,29302.496094,2656.611328,6391.821484,5860.499219,531.322266,10.372244,10.285462,6.277249,5565.037598,792.589111,1319.000000,602.283875,353.000000,1281.535400,3346.507812,502.041718,0.404400,0.057600,0.095800,0.043800,0.025700,0.093100,0.243200,0.036500,0.083125,2,1
26,3,1,5,5,271.278656,24465.259766,22741.162109,1724.097656,4893.051953,4548.232422,344.819531,10.105050,10.031976,5.845917,5698.204102,285.000000,1124.000000,627.402283,1692.000000,5881.219238,861.629395,845.189331,0.334900,0.016800,0.066100,0.036900,0.099400,0.345700,0.050600,0.049700,0.070471,2,1
27,4,1,3,3,271.278656,40593.210938,50939.250000,-10346.039062,13531.070312,16979.750000,-3448.679688,10.611381,10.838409,0.000000,14760.743164,317.887421,1038.000000,721.978333,9876.000000,3191.786865,133.147461,1512.895874,0.467800,0.010100,0.032900,0.022900,0.313000,0.101200,0.004200,0.047900,-0.254871,4,1
28,4,1,4,5,271.278656,17130.564453,29320.492188,-12189.927734,3426.112891,5864.098437,-2437.985547,9.748678,10.286076,0.000000,11838.048828,863.000000,892.000000,1519.280396,1641.000000,1739.590942,1519.000000,436.487549,0.578900,0.042200,0.043600,0.074300,0.080300,0.085100,0.074300,0.021300,-0.711589,4,1
