ID_HOGAR,PC1,PC2
1,-2.162671,0.279489
2,0.172482,-0.266494
3,-0.460782,1.739427
4,0.609121,-0.383517
5,-0.874302,0.164131
6,-0.160576,0.415669
7,-0.121426,0.939406
8,0.150507,1.910995
9,-0.081950,-0.169896
10,-1.391895,-0.192262
11,-1.113187,0.607476
12,-2.092061,1.053709
13,-0.008254,-1.099783
14,-2.860257,-0.558988
15,-1.209996,-1.122868
16,0.689270,1.082482
17,0.241183,0.937983
18,-1.156064,-0.031845
19,-0.021672,-0.070669
20,0.435318,-0.269337
21,1.064279,1.775924
22,-1.070346,-1.120216
23,-1.830445,1.768673
24,-0.179953,-0.428278
25,-0.522277,0.285294
26,-1.135126,1.011296
27,0.182569,1.110702
28,0.578106,-0.333908
29,-1.497702,1.252094
30,0.521290,1.030882
31,0.828528,1.697412
32,0.758154,-1.363384
33,0.189816,0.168233
34,0.002893,-1.229621
35,0.765469,-1.075387
36,0.732451,-0.930763
37,1.397989,0.018024
38,1.536764,-0.933641
39,1.460738,-1.193249
40,-0.653931,1.231776
41,-0.197494,-2.499126
42,0.001410,-0.042486
43,0.392477,1.249027
44,0.411018,-0.882336
45,1.516477,-1.058290
46,-0.292981,-1.074607
47,-2.992082,-2.415441
48,0.729971,0.893283
49,-3.573056,-1.251235
50,1.247390,0.208197
51,-0.259568,-1.196468
52,0.318165,-0.249063
53,0.600954,-1.708585
54,-2.740127,-0.780468
55,0.240367,-0.396424
56,0.991453,-0.729090
57,1.256629,1.032562
58,-0.977855,-0.343289
59,2.592251,-1.282209
60,-0.134267,-1.232603
61,2.341468,-0.181586
62,-0.364029,-1.985253
63,1.811687,-0.140170
64,0.327047,-0.420079
65,-0.211951,-0.808082
66,-1.510464,0.219472
67,-1.106970,0.015871
68,-1.081882,-1.347610
69,-2.207940,-1.509186
70,-0.772705,-1.522137
71,1.061742,-0.474934
72,-2.925662,-3.250926
73,-1.035864,-0.827776
74,0.883988,1.001550
75,-2.220069,1.497684
76,-2.260126,-1.723580
77,-0.330195,0.376815
78,-2.958274,-1.956442
79,0.150155,-1.165652
80,-0.714345,-1.095600
81,-2.501048,-0.419939
82,-2.640611,-1.160274
83,-0.810857,-1.497252
84,-4.463895,-3.763050
85,-0.720578,-0.242711
86,0.871131,-0.265716
87,-3.181478,0.641757
88,1.192844,1.804172
89,1.540369,-0.419734
90,-2.485654,1.415882
91,-2.921888,-1.485711
92,-0.480089,0.265695
93,-1.375220,-2.402716
94,0.093375,0.003127
95,-1.482874,1.699289
96,1.653213,-1.344106
97,0.532843,-0.783403
98,-0.172301,2.482292
99,-0.658747,0.182722
100,1.437504,0.658669
101,-1.182898,0.932768
102,-0.905300,0.647537
103,-2.626239,-0.061466
104,-0.633625,1.551740
105,-0.086181,-0.716854
106,-0.444737,-0.201324
107,-0.429236,-0.343835
108,1.473872,0.175688
109,-2.169492,-1.667357
110,0.261327,-1.359873
111,-1.429781,-1.179729
112,-0.063604,-0.529164
113,-2.600145,-1.535423
114,-0.233825,0.269354
115,1.062336,0.273041
116,-2.367613,-0.573310
117,1.103580,0.279753
118,-1.518018,0.565071
119,0.019962,-1.016651
120,-0.705673,-0.571132
121,0.117999,-0.365454
122,0.967648,-0.011066
123,-0.317675,-1.029417
124,-0.165283,4.997953
125,1.664316,-0.212612
126,-0.535224,0.956397
127,-1.287537,-0.283825
